SSDSE-B-2023,Code,Prefecture,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A4101,A410101,A410102,A4103,A4200,A420001,A420002,A5101,A510101,A510102,A5102,A510201,A510202,A9101,A9201,B4101,B4102,B4103,B4106,B4109,C3301,C3302,C3801,C3802,C5401,C5403,E1101,E1301,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3701,E3702,E4101,E4401,E4501,E4601,E4602,E6101,E6102,E6201,E6202,E6301,E6302,E6501,E650110,E6502,E650210,E7101,E7102,E7201,E7202,F3101,F3102,F3103,F3104,F3105,G5105,G7101,G7102,H1800,H1801,H1802,H1803,H2600,H2601,H2602,H2603,H5609,H5610,H5614,I510120,I5102,I5103,J2503,J2505,J250502,J2506,J2526,L3221,L322101,L322102,L322103,L322104,L322105,L322106,L322107,L322108,L322109,L322110
2010,R41000,ç≤âÍåß,849788,400136,449652,843877,397529,446348,123447,63278,60169,515206,252091,263115,208096,82924,125172,7640,3943,3697,1.61,9212,4701,4511,15906,8735,7171,17494,9376,8118,4210,1536,17.0,34.7,1.3,120,1941,3885,911459,403,9817,22900,48200,109,753,9198,184,3312,51448,103,2240,27474,9168,8879,45,2174,27006,8732,3697,3,2,89,787,995,7700,441,27,1661,320,28,3,3402,17,45944,184589,77318,13881,14039,20050,1973230,38320,3978,2113,1486,312,396709,279139,31093,80742,269693.0,860,17.9,96,699,422,204,18760,0,19705,2772,298811,65968,21573,22291,9401,12117,12107,40270,11531,27883,75671
2009,R41000,ç≤âÍåß,853000,401000,451000,849000,400000,449000,121000,62000,59000,524000,257000,267000,207000,82000,125000,7518,3818,3700,1.49,8831,4448,4383,16948,9352,7596,18857,10333,8524,4139,1489,16.9,33.1,1.6,92,1704.5,3763,686998,411,10202,23700,50400,108,753,9190,189,3349,52382,103,2217,27833,9540,9245,44,2172,27168,8779,3797,3,2,93,789,1018,7622,516,40,1602,340,29,3,3252,18,47494,199633,65989,13790,13703,19949,1938080,27060,4513,2089,2208,151,410052,280183,16958,107602,273178.0,869,17,96,695,425,208,19245,0,20108,2774,311653,65061,20045,22892,9110,13322,14084,37273,11461,28643,89761
2020,R42000,í∑çËåß,1312317,616912,695405,1296014,608596,687418,164303,84338,79965,706077,345185,360892,430353,180449,249904,9182,4715,4467,1.61,17646,8500,9146,20853,12324,8529,26853,15145,11708,4900,1976,17.7,32.8,4.7,118,2709.5,4478,826796,608,21911,24500,97500,107,960,8402,327,5401,69812,188,3273,35687,11807,11471,79,3117,35385,11590,5518,2,8,61,1706,763,17128,368,22,3743,424,36,8,3644,221,38642,166618,165285,12397,12844,6987,3673480,91120,5956,2575,2417,897,494837,290395,89015,110471,474606.0,972,15.9,120,1348,716,489,39270,0,37811,4815,253814,67610,23592,21706,11092,7189,12207,32696,4760,19351,53610
2019,R42000,í∑çËåß,1327000,624000,703000,1318000,619000,698000,168000,86000,82000,725000,356000,369000,433000,182000,252000,9585,4914,4671,1.66,17612,8548,9064,20919,12027,8892,27939,15373,12566,5472,2126,17.9,31.1,4.5,113,1788,4868,1057273,612,21685,24500,96200,110,962,8757,329,5376,70472,189,3298,35982,12135,11802,79,3162,36624,12161,5608,2,8,61,1712,801,17010,377,23,3704,412,38,6,3935,180,43860,169563,193735,14233,15077,29577,6139310,577400,6801,2841,2663,1222,568400,322556,112503,128648,479297.0,969,15.8,121,1371,729,488,35636,70,35906,4605,271229,68686,20871,21602,10139,8822,12176,39277,6041,22733,60882
2018,R42000,í∑çËåß,1341000,630000,711000,1333000,626000,706000,171000,88000,83000,741000,364000,377000,429000,179000,250000,10135,5251,4884,1.68,17714,8550,9164,22075,12764,9311,28386,15396,12990,5394,2050,17.7,33.6,2.5,107,1821,4996,1041058,597,21474,24100,93300,114,989,9431,330,5376,71277,189,3314,36501,12432,12140,79,3171,37694,12289,5572,2,8,62,1721,841,16861,408,21,3655,425,39,6,4103,203,44685,170325,202775,15590,16309,29127,6066790,581130,6482,2985,2486,962,564686,344652,92531,123788,477499.0,958,14.9,121,1383,729,484,37364,157,36824,4426,271496,70163,22381,21168,9947,9931,13292,38938,4949,25091,55637
2017,R42000,í∑çËåß,1355000,636000,719000,1346000,632000,714000,173000,89000,84000,757000,371000,386000,424000,176000,248000,10558,5488,5070,1.70,17515,8471,9044,22438,13177,9261,28321,15652,12669,5831,2089,17.3,32.6,3.7,108,1778.5,5187,1108054,611,21078,23700,89200,117,973,9697,338,5394,71611,192,3383,37339,12685,12404,79,3223,38842,12740,5738,2,8,61,1752,884,16810,418,23,3699,428,42,6,4273,191,48190,181004,201911,16786,17608,26199,5987790,615290,7397,2957,3493,898,592265,339315,86733,162798,479920.0,952,15,122,1380,734,455,34627,190,35491,4598,265383,70440,17442,22516,8911,9607,11199,35030,6681,20093,63464
2016,R42000,í∑çËåß,1367000,642000,725000,1358000,637000,721000,176000,90000,86000,775000,380000,394000,417000,172000,245000,10886,5612,5274,1.71,17071,8340,8731,22105,12744,9361,27678,15147,12531,6013,2169,18.1,33.7,4.2,127,2293,4993,1003313,622,21378,23500,87000,126,1006,10189,343,5400,72271,192,3411,38595,13387,13084,79,3249,39679,12977,5672,2,10,62,1782,860,16814,393,26,3741,430,41,5,4377,129,50191,187116,194737,17234,18180,25801,5668370,568550,7263,2926,3394,793,593716,343818,77571,160793,480300.0,944,15.6,123,1389,739,462,34542,70,35440,4693,250411,67798,17514,21105,10560,10197,11172,35080,6374,19079,51532
2015,R42000,í∑çËåß,1377187,645763,731424,1365241,639685,725556,177562,90930,86632,784862,383709,401153,404686,165381,239305,11020,5686,5334,1.67,16855,8117,8738,22919,13261,9658,28767,15874,12893,6118,2304,17.3,30.4,4.5,132,2392,4827,1000780,633,21194,23600,85900,135,1018,10858,358,5429,73082,193,3442,39629,13488,13195,79,3286,40330,12915,5756,2,10,56,1743,852,16769,399,24,3714,443,41,5,4646,143,53482,201888,181070,17875,18675,21726,6323200,675890,6269,2852,2612,673,539487,338655,63340,127607,489823.0,953,16,126,1400,744,455,33630,42,34783,4669,244581,68642,13645,22923,8854,9736,10229,27710,6649,21508,54685
2014,R42000,í∑çËåß,1387000,649000,738000,1381000,646000,735000,183000,93000,89000,803000,392000,411000,401000,163000,238000,11323,5840,5483,1.66,17091,8457,8634,22443,12929,9514,28296,15519,12777,6137,2316,17.0,29.8,3.9,118,2133.5,5205,1058506,641,20707,23700,85600,172,1261,13657,366,5472,73932,194,3478,40971,14010,13774,79,3317,40868,12924,5331,2,10,62,1746,850,16996,383,18,3794,436,41,7,4880,124,57477,221048,170911,18563,19270,21936,6173570,451720,6481,2845,2774,793,566043,341908,73709,145020,493117.0,955,15.8,128,1409,751,410,30066,95,32515,4794,256316,62716,24306,21400,8413,9910,10339,40259,4754,19900,54319
2013,R42000,í∑çËåß,1397000,653000,744000,1392000,651000,741000,185000,95000,91000,822000,401000,421000,390000,157000,233000,11566,5868,5698,1.64,17225,8529,8696,22933,13034,9899,28825,16163,12662,6559,2358,17.5,33.5,2.8,97,1683.5,5321,1147641,652,20420,24100,86200,175,1284,13833,375,5520,75404,196,3503,41859,14269,13972,79,3305,41274,13182,5731,2,10,61,1691,832,17024,388,15,3716,444,41,8,4711,178,62726,251240,162361,20048,20766,23321,5781850,355670,6659,3140,2804,674,603882,380638,69222,149243,497695.0,960,16,131,1425,748,407,29666,97,32402,4688,279678,64277,14458,21984,9139,11301,9914,37303,8356,22908,80038
2012,R42000,í∑çËåß,1408000,658000,750000,1403000,656000,747000,188000,96000,92000,839000,409000,430000,380000,152000,228000,11723,5983,5740,1.63,16784,8327,8457,23858,13659,10199,28764,15858,12906,6335,2450,16.9,32.9,3.1,126,2135.5,4986,1070603,678,20526,24800,91000,178,1278,14043,383,5518,76916,199,3542,42584,14241,13993,79,3343,42495,14081,5898,3,10,60,1786,822,17138,368,19,3819,436,41,8,4595,165,65334,271537,146975,20651,21396,29926,5175510,280130,6073,2906,2363,745,565342,355428,76801,127828,493013.0,944,16.2,131,1423,749,416,30001,43,32426,4732,258371,58837,17335,21107,8559,10155,10794,35207,7050,21598,67729
2011,R42000,í∑çËåß,1418000,662000,756000,1412000,659000,752000,191000,98000,93000,855000,416000,439000,371000,147000,224000,11727,6074,5653,1.60,16645,8375,8270,24226,13645,10581,28559,15840,12719,6337,2435,17.0,31.6,1.3,95,2169,4643,1122296,704,20797,25600,92400,181,1293,13829,386,5621,79019,200,3585,43339,14704,14376,80,3398,43391,14040,6010,4,10,65,1790,854,17256,423,27,3778,452,41,8,4687,166,68137,281725,143139,21902,22332,28719,5040130,248900,6039,2718,2424,860,555733,331170,88008,132495,496501.0,944,17,132,1414,747,405,29236,22,31472,4605,235584,60248,19311,19986,8621,9069,10594,28130,6508,21281,51836
2010,R42000,í∑çËåß,1426779,665899,760880,1414600,660342,754258,193428,98927,94501,857416,416736,440680,369290,146533,222757,12004,6167,5837,1.61,16303,8291,8012,24343,14073,10270,29206,16149,13057,6647,2515,17.5,32.8,3.5,124,1897.5,4575,971491,735,21241,26700,96000,184,1285,13920,396,5672,81106,210,3638,43728,14669,14343,83,3461,44804,14577,6145,4,10,69,1794,914,17100,421,32,3677,436,43,9,4727,149,72799,297309,119200,20556,21394,29534,5040480,360990,5450,2665,2166,463,501119,329370,49192,115128,499666.0,945,17.5,134,1419,739,409,29336,38,31176,4572,267616,60806,18876,22189,8482,12190,10039,33187,9910,28854,63084
2009,R42000,í∑çËåß,1434000,669000,765000,1427000,666000,761000,189000,96000,93000,873000,425000,448000,368000,146000,222000,11838,6146,5692,1.50,15491,7910,7581,25929,15218,10711,31815,17736,14079,6854,2564,17.4,32.1,3.5,105,1801,4300,917842,786,21939,27800,99600,189,1281,14148,401,5717,82840,211,3681,45092,15653,15289,83,3544,45135,14606,6257,4,10,74,1750,983,17056,502,65,3770,480,43,10,4720,169,72857,304364,98547,19743,20506,28573,4181570,216700,5755,2425,2649,558,512880,300939,55185,139950,505030.0,949,17.3,136,1431,737,415,29710,94,31475,4547,264605,65242,12328,22007,9792,11396,10372,31854,7992,24959,68661
2020,R43000,åFñ{åß,1738301,822481,915820,1705205,806900,898305,228366,116839,111527,944198,462649,481549,540538,229187,311351,13011,6662,6349,1.60,21156,10367,10789,25844,14921,10923,29449,16420,13029,6793,2797,17.6,35.2,1.8,106,2467.5,9234,1761449,1039,27775,28700,149000,101,912,8511,340,7080,96934,171,4059,48218,15725,15152,73,3727,45401,14750,6961,2,9,50,1621,717,24771,318,14,5402,703,51,6,7938,1121,44514,205085,254767,12681,13020,10580,3969680,103380,12511,5238,4874,2373,1062757,586701,239193,235109,566015.0,881,21.7,170,1473,838,626,53973,70,51833,5836,291734,71821,22257,19333,12302,10486,14024,48918,10752,24046,57795
2019,R43000,åFñ{åß,1749000,828000,922000,1734000,821000,913000,233000,119000,113000,972000,477000,495000,543000,229000,314000,13305,6891,6414,1.60,21670,10444,11226,26476,15069,11407,30730,16961,13769,7535,2950,17.7,32.0,2.1,113,2026.5,10608,2172742,1182,27423,28400,143600,105,890,9061,347,7081,97724,172,4042,47827,16137,15631,73,3783,46369,14931,6921,2,9,54,1642,717,24973,362,18,5437,698,53,6,8032,1079,45696,189371,306722,15564,15886,45392,6648950,862710,14700,6281,6374,2042,1248663,703895,202647,341688,580471.0,896,20.7,173,1469,845,622,54638,178,54825,6510,289882,68871,23533,19977,12724,10342,12599,41152,15629,24673,60381
2018,R43000,åFñ{åß,1759000,831000,928000,1745000,826000,920000,235000,120000,115000,985000,483000,502000,537000,226000,311000,14301,7292,7009,1.69,21380,10425,10955,26736,15421,11315,30681,16973,13708,7643,2972,17.5,35.6,0.5,100,1950.5,12479,2370909,1200,26923,28000,129300,107,853,9535,349,7023,97951,173,4082,48186,16332,15879,76,3800,47590,15532,7226,2,9,50,1679,727,25025,314,11,5623,718,54,6,8237,1187,45784,186847,330755,16594,16945,45284,6587740,898870,16956,7311,7369,2236,1437629,815030,216680,403058,583786.0,899,22.7,176,1463,847,625,54168,182,53379,6285,266869,64177,18872,21473,9061,11168,12881,38159,10296,23630,57152
2017,R43000,åFñ{åß,1767000,834000,933000,1756000,829000,926000,237000,121000,115000,998000,489000,509000,531000,222000,308000,14657,7449,7208,1.67,21588,10308,11280,27138,15735,11403,30979,17064,13915,7883,2859,16.9,33.5,1.0,102,1818.5,13795,2665932,1213,27232,27900,116200,110,859,10207,361,7022,97680,175,4126,49229,16738,16327,76,3803,48196,15405,7217,2,9,51,1699,730,25109,359,17,5543,683,54,6,8490,1384,48420,195080,321784,18076,18400,42071,6416790,728720,16411,7996,6350,1892,1476433,904631,184892,369433,601975.0,922,23.4,175,1457,844,585,50481,275,52152,6179,280970,66857,20044,20692,12439,10511,11168,34917,12553,25807,65983
2016,R43000,åFñ{åß,1775000,837000,938000,1766000,833000,933000,239000,122000,117000,1012000,496000,517000,523000,218000,305000,14894,7641,7253,1.66,21379,10293,11086,26003,14877,11126,32794,17733,15061,7976,2915,18.0,35.1,2.2,127,2504,10346,2203287,1221,26973,27700,111400,114,872,11002,370,7059,97309,176,4146,50078,16971,16587,80,3840,48811,15622,7333,2,9,53,1724,792,25388,376,13,5534,689,54,6,8610,1080,53034,219364,296073,18683,19116,35120,6191150,504350,13296,6221,5166,1771,1189424,721303,176199,277637,552656.0,843,19.3,174,1454,851,526,44729,233,46305,5709,262224,66031,20122,19274,11609,9486,10014,33614,7338,23611,61125
2015,R43000,åFñ{åß,1786170,841046,945124,1771440,834781,936659,241167,123581,117586,1024400,500297,524103,511484,212154,299330,15577,7914,7663,1.68,20692,10212,10480,27916,15710,12206,31849,17700,14149,8249,3290,17.2,31.9,2.1,129,2292,8115,1608265,1247,27411,27800,110200,122,954,12640,377,7024,97930,178,4148,51211,17427,17038,80,3859,49037,15719,7253,2,9,51,1744,837,25483,397,11,5489,701,52,6,8571,977,58882,245583,251604,20705,21272,32808,6288150,697320,10902,4589,4403,1782,985166,544206,183668,244504,560921.0,847,19,176,1469,850,574,47875,659,51430,6497,292878,68629,26796,20815,10396,13187,10896,33052,13011,26401,69695
2014,R43000,åFñ{åß,1795000,845000,950000,1787000,842000,945000,244000,125000,119000,1046000,511000,534000,504000,207000,297000,15558,7974,7584,1.64,20461,9973,10488,27671,15450,12221,30532,16951,13581,8714,3105,16.8,31.0,1.1,119,1694,8515,1787590,1269,27486,27600,109200,143,1142,15767,377,6990,98362,180,4145,51671,17275,16926,78,3883,49680,15911,7248,2,9,52,1740,867,25592,399,15,5627,717,52,6,8948,1099,62949,266204,234189,21878,22334,32748,5946700,467620,11013,4455,4737,1591,983993,544520,163282,265568,561337.0,846,19.1,176,1471,850,549,44979,678,49833,6888,279663,63697,24736,21451,10328,12709,11505,33238,11252,25229,65518
2013,R43000,åFñ{åß,1801000,847000,954000,1794000,845000,949000,246000,126000,120000,1065000,521000,544000,491000,200000,291000,15954,8196,7758,1.65,20237,9943,10294,28901,16213,12688,31584,17336,14248,8934,3333,17.2,33.9,0.1,96,1975,9213,1977733,1325,28261,26700,109900,145,1132,16067,392,6986,98665,182,4196,52351,17635,17275,82,3914,50075,15968,7192,2,9,50,1731,856,25896,414,10,5792,717,52,7,9219,1054,65424,295258,228208,23567,23830,33332,5989020,412090,12353,5280,5424,1630,1144532,654374,172383,315854,565188.0,848,19.7,176,1482,844,553,44359,582,49258,6890,270470,60426,21358,20425,8842,11809,10181,38349,10243,24011,64824
2012,R43000,åFñ{åß,1807000,850000,958000,1800000,847000,953000,247000,127000,120000,1081000,528000,553000,478000,194000,285000,15996,8316,7680,1.62,20565,10303,10262,29894,16642,13252,30836,17147,13689,8965,3377,16.7,33.7,1.3,123,2209.5,8371,1763870,1363,24941,27200,125900,148,1114,16069,408,7044,99958,183,4177,52688,17773,17390,82,3937,51113,16640,7247,2,9,49,1753,887,26003,420,9,5597,648,52,7,9176,932,72375,333766,195077,24100,24541,42147,5634180,294450,11595,4593,5287,1637,1041492,568302,173878,290146,565102.0,845,19,176,1481,842,560,44379,396,49147,6813,284192,60931,21303,20478,9724,12843,12819,38597,9567,26429,71501
2011,R43000,åFñ{åß,1813000,852000,961000,1805000,849000,956000,249000,127000,121000,1097000,536000,561000,467000,188000,279000,16118,8440,7678,1.62,20008,9864,10144,29909,16635,13274,30305,16839,13466,8730,3291,16.9,32.8,-1.2,99,2154.5,8048,1829262,1382,28188,27400,129200,148,1126,15878,420,7146,101354,189,4201,53556,18216,17831,87,3994,51553,16293,7019,2,9,52,1751,933,26296,473,12,5623,704,52,8,9235,1045,77437,343291,188085,24503,24682,41252,5878270,242140,10524,4578,4292,1586,972897,564143,166057,235367,557364.0,832,19.3,178,1459,834,551,42630,194,46963,6441,260274,60815,17671,21142,10206,11885,12114,34442,9631,26021,56346
2010,R43000,åFñ{åß,1817426,853514,963912,1798586,845166,953420,249606,127974,121632,1093440,533222,560218,463266,186363,276903,16246,8304,7942,1.62,19217,9672,9545,28759,16149,12610,31031,17115,13916,9098,3623,17.4,34.8,1.1,132,2072.5,7610,1779890,1399,28428,28000,134900,148,1149,15908,429,7183,102544,190,4240,54026,18132,17751,88,4014,52414,16635,7164,2,10,51,1730,917,26295,394,8,5591,698,52,8,9218,1126,82107,366001,157968,25077,25557,41399,5225150,331320,8901,4506,3561,744,842014,557144,81282,194590,559683.0,836,18.2,180,1453,833,541,41500,141,45879,6265,273037,63736,17119,21678,9173,11310,12036,34521,15251,27743,60468
2009,R43000,åFñ{åß,1821000,855000,966000,1813000,852000,961000,251000,129000,122000,1099000,537000,562000,463000,186000,277000,16221,8360,7861,1.58,18505,9431,9074,30520,17362,13158,34781,19668,15113,9100,3450,17.5,33.8,2.0,99,1565.5,7297,1521796,1406,28856,28700,139400,149,1156,16240,436,7115,103976,193,4204,55339,18995,18572,85,4018,52818,16841,7285,2,10,50,1693,868,26214,413,14,5809,848,54,8,8924,1145,83377,407462,125316,24384,24821,40250,4976010,190810,9426,4095,4110,1140,876918,517785,138723,214745,582712.0,868,18,180,1454,832,570,43415,93,47834,6427,289466,66059,16717,21992,10114,14216,12607,36197,14644,31427,65492
2020,R44000,ëÂï™åß,1123852,533414,590438,1098735,521156,577579,135272,69103,66169,596527,295579,300948,369192,155841,213351,7582,3858,3724,1.55,14444,7137,7307,17259,10165,7094,19570,10956,8614,4406,1889,17.4,34.2,3.4,105,1860,4952,907000,1025,24093,25100,54400,166,921,8040,266,4288,57705,130,2519,29212,9502,9256,55,2688,29937,9557,4747,5,5,152,1030,1817,15278,822,145,3234,286,48,15,4216,1476,32027,139076,162004,11034,11345,6128,3680410,110710,6541,2643,2602,1270,561019,303347,123797,130951,395733.0,950,18.9,128,939,535,334,27659,10,24986,2697,271369,71027,22212,19589,11761,8271,13617,41656,6663,24237,52337
2019,R44000,ëÂï™åß,1134000,538000,596000,1121000,532000,589000,139000,71000,68000,623000,310000,313000,373000,158000,216000,7624,3923,3701,1.53,14614,7043,7571,17300,10011,7289,20394,11217,9177,4954,1944,17.4,31.1,3.3,107,1753,5374,984589,1080,24970,24900,55400,176,929,8684,270,4298,58558,132,2521,29191,9743,9537,55,2697,30846,9962,4857,5,5,163,1044,1784,15122,842,114,3177,310,48,14,4332,1563,33336,127828,192872,12744,13191,26651,5823350,933200,7472,2938,3091,1340,629770,338768,128633,153842,405385.0,962,19.1,130,949,542,332,26634,25,25067,2605,249209,62719,14227,18838,11017,8413,12972,35099,6460,24077,55387
2018,R44000,ëÂï™åß,1143000,541000,602000,1132000,536000,595000,141000,72000,69000,632000,314000,318000,371000,156000,215000,8200,4128,4072,1.59,14492,7058,7434,17143,9788,7355,20627,11262,9365,4804,1931,17.1,33.9,1.5,101,1663,5602,1103531,1165,25806,24600,54500,182,942,9315,272,4303,59233,138,2575,29373,10063,9840,55,2703,31329,9973,4724,5,5,163,1033,1848,15028,883,137,3298,283,45,14,4382,1511,34485,129464,202510,13977,14419,25472,5960200,1100550,7311,3063,3051,1125,625857,358075,108838,153930,401250.0,948,18.7,132,955,541,325,26112,13,25333,2944,299677,69713,20663,19704,9893,10030,12980,42833,9106,27412,77345
2017,R44000,ëÂï™åß,1152000,545000,607000,1141000,541000,601000,143000,73000,70000,642000,319000,324000,367000,154000,213000,8658,4446,4212,1.62,14398,7084,7314,17304,9982,7322,20189,11222,8967,5022,1943,16.8,32.9,2.8,90,1910,5393,1136133,1162,26098,24500,53900,186,940,9967,275,4346,59443,138,2610,29958,10128,9953,55,2685,31848,10083,4823,5,5,167,1013,1896,14661,877,144,3010,302,46,14,4586,1664,36648,139139,195162,14888,15199,22193,5958590,1045890,6976,2711,3008,1214,607273,322195,117473,163394,399535.0,936,20.6,132,965,538,294,23770,505,23742,2787,287746,67420,17010,19286,12905,12671,11874,40397,7680,30564,67939
2016,R44000,ëÂï™åß,1160000,549000,611000,1150000,545000,605000,145000,74000,71000,653000,323000,329000,362000,151000,211000,9059,4657,4402,1.65,14264,7035,7229,17852,10160,7692,20460,11286,9174,5151,1999,17.6,33.9,2.8,102,2199,5329,1038760,1168,25011,24700,53900,188,924,10363,287,4426,60135,140,2644,31153,10709,10507,58,2699,31851,10102,4768,5,5,168,1010,1934,14560,923,137,3184,293,46,14,4670,1614,40128,156089,180313,15780,16261,20566,5913780,708010,7091,2866,3260,799,597243,338994,78713,167766,401673.0,934,20.4,132,964,541,289,23641,370,23717,2781,262329,65303,14062,19133,9249,11288,10507,38661,7524,25763,60840
2015,R44000,ëÂï™åß,1166338,551932,614406,1150436,544698,605738,146413,74904,71509,657169,324315,332854,351745,146429,205316,9112,4636,4476,1.59,13958,6931,7027,18391,10487,7904,20803,11443,9360,5315,2066,16.8,31.3,3.4,111,1677.5,5303,1131954,1176,25053,24800,53900,197,923,10742,296,4497,60605,140,2678,31560,10589,10404,60,2659,32226,10343,4797,5,5,161,1004,1926,14366,881,143,2990,328,46,14,4897,1606,43542,165587,160032,16721,17299,17773,6080470,693130,7063,2768,2991,1211,608514,327699,120332,153907,408386.0,942,20.5,132,971,539,285,22937,536,23187,2750,272374,62901,18406,19470,9316,9522,9740,42609,7381,24001,69029
2014,R44000,ëÂï™åß,1173000,555000,618000,1165000,551000,614000,150000,77000,73000,674000,333000,341000,347000,143000,203000,9279,4767,4512,1.57,14065,6946,7119,18170,10245,7925,20818,11616,9202,5391,2004,16.3,30.3,2.0,108,1613,5456,1074322,1215,25290,25100,54400,215,1024,12320,298,4505,60802,140,2707,32059,10743,10515,62,2698,32787,10517,4938,5,5,166,996,1971,14295,965,174,3054,287,46,19,5054,1873,46749,183772,153925,17539,18392,20169,5194680,385110,6423,2761,2688,908,569994,333496,88039,141009,416126.0,957,20.1,133,972,538,279,21934,42,23761,3434,284219,65532,15762,22215,9568,10693,10497,46550,8825,27228,67349
2013,R44000,ëÂï™åß,1180000,558000,622000,1172000,555000,617000,152000,78000,74000,690000,341000,349000,337000,139000,198000,9605,4929,4676,1.56,13874,6877,6997,18873,10764,8109,21435,11754,9681,5724,2179,16.9,34.2,1.3,82,1505.5,5894,1300192,1231,24487,25500,55500,216,1034,12433,304,4533,61534,140,2707,32293,10921,10717,64,2699,33105,10419,4733,5,5,170,975,1990,14474,906,188,3261,323,44,19,5055,1855,51660,210834,146428,19127,19766,20688,5754110,382440,7289,3336,3124,779,659255,409224,77904,167932,415962.0,951,20.3,133,970,544,265,19912,95,21687,3268,311824,64163,22718,21484,11569,12852,11603,52386,7867,30569,76613
2012,R44000,ëÂï™åß,1186000,561000,626000,1178000,557000,621000,153000,79000,75000,705000,348000,357000,327000,134000,194000,9650,5038,4612,1.53,14050,6986,7064,19544,11159,8385,21204,11744,9460,5652,2187,16.3,32.0,2.0,126,2263.5,5437,1155715,1231,24468,26200,56300,220,1022,12544,309,4561,62256,143,2729,32893,11174,10978,64,2741,33746,11001,5004,5,5,165,964,1948,14660,904,178,3168,315,44,20,5018,1789,56038,225479,141465,18946,19713,28162,5089500,286850,7013,2954,2588,1376,650477,357188,141795,144620,416670.0,947,20.4,134,975,546,271,20361,54,22065,3257,305316,62852,19485,19352,10970,12993,12317,43860,8005,33839,81643
2011,R44000,ëÂï™åß,1192000,563000,629000,1183000,559000,624000,155000,79000,75000,718000,354000,364000,319000,130000,190000,9988,5096,4892,1.55,13806,7057,6749,20532,11589,8943,21339,11718,9621,5667,2110,16.6,32.0,-0.1,89,1959.5,5233,1216715,1315,25845,27200,55900,222,1023,12350,321,4615,63239,142,2730,33384,11297,11074,63,2770,33865,10621,4856,5,5,167,987,2089,15106,1022,212,3424,317,43,20,5187,1713,57173,232820,136018,19539,20278,27292,5244950,328140,5925,2818,2196,863,558921,348235,84711,122692,411956.0,935,21.1,135,973,544,255,19001,24,20400,3047,283178,60961,15362,19164,9463,11410,12468,42966,8127,26774,76482
2010,R44000,ëÂï™åß,1196529,564890,631639,1183206,558910,624296,155634,79590,76044,717319,352354,364965,316750,128790,187960,10072,5105,4967,1.56,12988,6622,6366,19505,11014,8491,21548,11894,9654,6076,2314,17.0,34.6,2.1,102,1298,5315,1087183,1329,26034,28300,58800,226,1042,12427,326,4560,64187,142,2739,33610,11147,10911,65,2822,34179,10662,5057,5,5,167,997,2168,15323,982,214,3354,341,43,23,5204,1998,60538,249332,123190,19453,20165,26108,5043750,363160,5578,2868,2096,582,533108,359315,53912,116996,406675.0,924,20,134,971,545,261,19096,12,20647,3034,275238,64452,17305,19354,11454,11660,9556,35319,9155,29505,67479
2009,R44000,ëÂï™åß,1200000,567000,634000,1192000,563000,629000,158000,81000,77000,721000,353000,368000,316000,129000,187000,9961,5035,4926,1.50,12528,6520,6008,21193,12160,9033,23473,13144,10329,6136,2378,17.0,31.6,3.0,87,1294.5,4918,952009,1348,26164,29600,62000,229,1028,12519,342,4587,65240,143,2746,34336,11890,11620,64,2808,34029,10982,5143,5,5,164,994,2157,15283,1025,233,3188,325,43,24,4933,1926,62521,271335,106043,19437,19841,25091,4115660,172500,5415,2530,2621,236,478828,323987,23769,129354,415379.0,937,20.6,139,969,549,272,19661,3,21387,3070,283895,64696,17182,19749,9814,11987,11664,40709,9746,27291,71056
2020,R45000,ã{çËåß,1069576,504763,564813,1047871,493794,554077,139773,71395,68378,568255,277664,290591,344543,146140,198403,7720,3923,3797,1.65,14140,7006,7134,16858,9758,7100,19340,10792,8548,4148,1905,18.3,33.7,3.7,120,2279.5,5436,978221,425,14927,24600,43400,93,769,5700,238,4265,60450,137,2758,30211,9741,9353,52,2600,29590,9653,4451,2,7,44,1088,655,9924,316,34,2179,291,36,5,4321,106,33881,149180,188492,12452,12685,4744,2361120,49160,5817,2884,2061,821,516275,327634,79848,104951,384489.0,968,17.1,120,894,499,423,33050,14,31471,3507,261710,71144,16200,18597,10396,7920,11260,44248,11939,22878,47126
2019,R45000,ã{çËåß,1077000,508000,569000,1071000,505000,565000,143000,73000,70000,584000,286000,299000,346000,147000,199000,8043,4141,3902,1.73,13788,6732,7056,16780,9558,7222,20220,11112,9108,4633,2040,18.4,30.9,4.2,129,3045.5,5723,1079870,444,14995,24600,43700,94,777,6133,241,4292,61174,138,2779,29905,10106,9736,54,2617,30455,10043,4489,2,7,45,1090,683,10037,332,28,2222,265,36,5,4334,108,36229,143297,211218,14346,14779,20633,3557460,306170,6478,3264,2205,987,590677,374629,94583,116802,393678.0,982,16.6,120,899,506,425,33541,43,32164,3417,263264,65441,13803,17497,11051,8380,13520,47727,5731,21791,58321
